Current,Constituency,Winner,LAB,CON,RFM,LDM,GRN,MIN,Oth,SNP,PLC,Electorate,Turnout
LAB,Edinburgh East and Musselburgh,SNP,0.21,0.05,0.16,0.05,0.16,0.01,-,0.36,-,"76,188",59.80%
LAB,Edinburgh North and Leith,SNP,0.21,0.06,0.13,0.09,0.19,0.01,0.01,0.3,-,"78,411",63.10%
LAB,Edinburgh South,LAB,0.32,0.07,0.16,0.06,0.18,0.01,0.02,0.18,-,"70,838",66.10%
LAB,Edinburgh South West,SNP,0.2,0.1,0.17,0.07,0.15,0.01,0,0.3,-,"73,784",61.90%
LDM,Edinburgh West,LDM,0.04,0.05,0.14,0.47,0.09,0.01,0,0.2,-,"76,490",68.60%
LAB,Edmonton and Winchmore Hill,LAB,0.31,0.13,0.21,0.09,0.19,0.03,0.02,-,-,"75,792",54.20%
LAB,Ellesmere Port and Bromborough,LAB,0.36,0.08,0.35,0.06,0.15,0.01,-,-,-,"70,799",59.30%
LAB,Eltham and Chislehurst,RFM,0.25,0.19,0.34,0.07,0.14,0.01,0.01,-,-,"73,979",61.60%
LDM,Ely and East Cambridgeshire,LDM,0.08,0.23,0.26,0.32,0.09,0,0.01,-,-,"79,112",66.20%
LAB,Enfield North,LAB,0.3,0.14,0.27,0.08,0.18,0.03,0.01,-,-,"78,770",55.20%
CON,Epping Forest,RFM,0.13,0.29,0.3,0.13,0.13,0.02,0.01,-,-,"72,229",57.80%
LDM,Epsom and Ewell,LDM,0.07,0.23,0.23,0.38,0.07,0.01,0,-,-,"76,513",71.30%
LAB,Erewash,RFM,0.22,0.18,0.41,0.07,0.12,0.01,-,-,-,"71,501",60.10%
LAB,Erith and Thamesmead,LAB,0.33,0.09,0.31,0.07,0.18,0.02,0,-,-,"78,740",51.30%
LDM,Esher and Walton,LDM,0.03,0.22,0.18,0.51,0.05,0,-,-,-,"74,042",72.80%
LAB,Exeter,GRN,0.26,0.11,0.25,0.1,0.26,0.01,0,-,-,"67,840",59.20%
CON,Exmouth and Exeter East,RFM,0.14,0.21,0.31,0.22,0.1,0.01,0.01,-,-,"79,983",64.20%
LAB,Falkirk,SNP,0.2,0.07,0.25,0.04,0.09,0.02,0.01,0.33,-,"73,584",57.90%
CON,Fareham and Waterlooville,RFM,0.11,0.26,0.35,0.19,0.09,0,0,-,-,"76,947",65.10%
CON,Farnham and Bordon,LDM,0.06,0.27,0.24,0.33,0.09,0.01,-,-,-,"75,920",69.80%
CON,Faversham and Mid Kent,RFM,0.13,0.23,0.38,0.09,0.17,0,-,-,-,"74,301",62.70%
LAB,Feltham and Heston,RFM,0.23,0.15,0.3,0.06,0.15,0.04,0.06,-,-,"76,982",50.50%
LAB,Filton and Bradley Stoke,RFM,0.27,0.18,0.29,0.08,0.17,-,-,-,-,"77,582",64.90%
LAB,Finchley and Golders Green,CON,0.28,0.29,0.16,0.11,0.15,0,0.02,-,-,"77,500",63.60%
LAB,Folkestone and Hythe,RFM,0.17,0.17,0.43,0.05,0.17,0.01,0.01,-,-,"70,056",61.70%
LAB,Forest of Dean,RFM,0.16,0.24,0.35,0.06,0.19,0,-,-,-,"72,857",66.00%
LDM,Frome and East Somerset,LDM,0.06,0.16,0.26,0.31,0.19,0.01,0.01,-,-,"71,593",65.30%
CON,Fylde,RFM,0.15,0.24,0.38,0.06,0.08,0.09,0,-,-,"77,100",62.20%
CON,Gainsborough,RFM,0.13,0.27,0.41,0.11,0.08,0,-,-,-,"75,836",61.60%
LAB,Gateshead Central and Whickham,RFM,0.26,0.07,0.38,0.13,0.15,0.01,0,-,-,"69,827",57.60%
LAB,Gedling,RFM,0.29,0.16,0.34,0.07,0.14,0,-,-,-,"77,006",63.30%
LAB,Gillingham and Rainham,RFM,0.2,0.2,0.4,0.07,0.11,0.01,0.01,-,-,"73,523",56.00%
LAB,Glasgow East,SNP,0.2,0.04,0.2,0.03,0.13,0.01,-,0.39,-,"68,987",51.40%
